"subj","pred","obj"
"http://healtheqkg.example.org/ontology#G25_M004","http://healtheqkg.example.org/ontology#numberOfStudents","350"
"http://healtheqkg.example.org/ontology#G25_M004","http://healtheqkg.example.org/ontology#facultySize","700"
"http://healtheqkg.example.org/ontology#G25_M004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#MedicalSchool"
"http://healtheqkg.example.org/ontology#G25_M004","http://healtheqkg.example.org/ontology#name","University of Pennsylvania Perelman School of Medicine"
"http://healtheqkg.example.org/ontology#G25_M004","http://healtheqkg.example.org/ontology#abstract","highly respected medical school"
"http://healtheqkg.example.org/ontology#G11_Z001","http://healtheqkg.example.org/ontology#hasADI","http://healtheqkg.example.org/ontology#G11_A003"
"http://healtheqkg.example.org/ontology#G11_Z001","http://healtheqkg.example.org/ontology#hasADI","http://healtheqkg.example.org/ontology#G11_A001"
"http://healtheqkg.example.org/ontology#G11_Z001","http://healtheqkg.example.org/ontology#hasADI","http://healtheqkg.example.org/ontology#G11_A005"
"http://healtheqkg.example.org/ontology#G8_P005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#Physician"
"http://healtheqkg.example.org/ontology#G8_P005","http://healtheqkg.example.org/ontology#medicalSpecialty","oncology"
"http://healtheqkg.example.org/ontology#G8_P005","http://healtheqkg.example.org/ontology#graduationYear","2017"
"http://healtheqkg.example.org/ontology#G8_P005","http://healtheqkg.example.org/ontology#givenName","Michael"
"http://healtheqkg.example.org/ontology#G8_P005","http://healtheqkg.example.org/ontology#usNPI","3691357920"
"http://healtheqkg.example.org/ontology#G8_P005","http://healtheqkg.example.org/ontology#familyName","Brown"
"http://healtheqkg.example.org/ontology#G8_P005","http://healtheqkg.example.org/ontology#gender","male"
"http://healtheqkg.example.org/ontology#G8_P005","http://healtheqkg.example.org/ontology#credential","MD"
"http://healtheqkg.example.org/ontology#G8_P005","http://healtheqkg.example.org/ontology#affiliatedHospital","http://healtheqkg.example.org/ontology#G8_F003"
"http://healtheqkg.example.org/ontology#G17_A002","http://healtheqkg.example.org/ontology#scoredIn","2021"
"http://healtheqkg.example.org/ontology#G17_A002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#ADIScore"
"http://healtheqkg.example.org/ontology#G31_P003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#Physician"
"http://healtheqkg.example.org/ontology#G31_P003","http://healtheqkg.example.org/ontology#medicalSpecialty","pediatrics"
"http://healtheqkg.example.org/ontology#G31_P003","http://healtheqkg.example.org/ontology#graduationYear","2015"
"http://healtheqkg.example.org/ontology#G31_P003","http://healtheqkg.example.org/ontology#givenName","Michael"
"http://healtheqkg.example.org/ontology#G31_P003","http://healtheqkg.example.org/ontology#usNPI","3456789012"
"http://healtheqkg.example.org/ontology#G31_P003","http://healtheqkg.example.org/ontology#familyName","Brown"
"http://healtheqkg.example.org/ontology#G31_P003","http://healtheqkg.example.org/ontology#gender","male"
"http://healtheqkg.example.org/ontology#G31_P003","http://healtheqkg.example.org/ontology#credential","MD"
