"subj","pred","obj"
"http://healtheqkg.example.org/ontology#A2G2_J009","http://healtheqkg.example.org/ontology#hasParticipant","http://healtheqkg.example.org/ontology#A2G2_P009"
"http://healtheqkg.example.org/ontology#A2G2_J009","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#JobPlacement"
"http://healtheqkg.example.org/ontology#A2G2_J009","http://healtheqkg.example.org/ontology#worksAt","http://healtheqkg.example.org/ontology#A2G2_F009"
"http://healtheqkg.example.org/ontology#A2G2_J009","http://healtheqkg.example.org/ontology#hasTimeReference","2023"
"http://healtheqkg.example.org/ontology#A1G2_M008","http://healtheqkg.example.org/ontology#numberOfStudents","970"
"http://healtheqkg.example.org/ontology#A1G2_M008","http://healtheqkg.example.org/ontology#facultySize","490"
"http://healtheqkg.example.org/ontology#A1G2_M008","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#MedicalSchool"
"http://healtheqkg.example.org/ontology#A1G2_M008","http://healtheqkg.example.org/ontology#name","Duke University School of Medicine"
"http://healtheqkg.example.org/ontology#A1G2_M008","http://healtheqkg.example.org/ontology#abstract","a top-tier medical school"
"http://healtheqkg.example.org/ontology#A0G3_J004","http://healtheqkg.example.org/ontology#hasParticipant","http://healtheqkg.example.org/ontology#A0G3_P004"
"http://healtheqkg.example.org/ontology#A0G3_J004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#JobPlacement"
"http://healtheqkg.example.org/ontology#A0G3_J004","http://healtheqkg.example.org/ontology#worksAt","http://healtheqkg.example.org/ontology#A0G3_F004"
"http://healtheqkg.example.org/ontology#A0G3_J004","http://healtheqkg.example.org/ontology#hasTimeReference","2023"
"http://healtheqkg.example.org/ontology#A2G7_Z003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#ZipCodeArea"
"http://healtheqkg.example.org/ontology#A0G4_J001","http://healtheqkg.example.org/ontology#hasParticipant","http://healtheqkg.example.org/ontology#A0G4_P001"
"http://healtheqkg.example.org/ontology#A0G4_J001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#JobPlacement"
"http://healtheqkg.example.org/ontology#A0G4_J001","http://healtheqkg.example.org/ontology#worksAt","http://healtheqkg.example.org/ontology#A0G4_F001"
"http://healtheqkg.example.org/ontology#A0G4_J001","http://healtheqkg.example.org/ontology#hasTimeReference","2023"
"http://healtheqkg.example.org/ontology#A1G5_Z005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#ZipCodeArea"
"http://healtheqkg.example.org/ontology#A0G3_P010","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#Physician"
"http://healtheqkg.example.org/ontology#A0G3_P010","http://healtheqkg.example.org/ontology#medicalSpecialty","Urology"
"http://healtheqkg.example.org/ontology#A0G3_P010","http://healtheqkg.example.org/ontology#graduationYear","2020"
"http://healtheqkg.example.org/ontology#A0G3_P010","http://healtheqkg.example.org/ontology#givenName","Jessica"
"http://healtheqkg.example.org/ontology#A0G3_P010","http://healtheqkg.example.org/ontology#usNPI","8024680135"
"http://healtheqkg.example.org/ontology#A0G3_P010","http://healtheqkg.example.org/ontology#familyName","Taylor"
"http://healtheqkg.example.org/ontology#A0G3_P010","http://healtheqkg.example.org/ontology#gender","Female"
"http://healtheqkg.example.org/ontology#A0G3_P010","http://healtheqkg.example.org/ontology#credential","MD"
"http://healtheqkg.example.org/ontology#A0G3_P010","http://healtheqkg.example.org/ontology#affiliatedHospital","http://healtheqkg.example.org/ontology#A0G3_F010"
"http://healtheqkg.example.org/ontology#A0G4_Z004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#ZipCodeArea"
"http://healtheqkg.example.org/ontology#A1G7_P017","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#Physician"
"http://healtheqkg.example.org/ontology#A1G7_P017","http://healtheqkg.example.org/ontology#medicalSpecialty","Otolaryngology"
"http://healtheqkg.example.org/ontology#A1G7_P017","http://healtheqkg.example.org/ontology#graduationYear","2021"
"http://healtheqkg.example.org/ontology#A1G7_P017","http://healtheqkg.example.org/ontology#givenName","Sarah"
"http://healtheqkg.example.org/ontology#A1G7_P017","http://healtheqkg.example.org/ontology#usNPI","7890123456"
"http://healtheqkg.example.org/ontology#A1G7_P017","http://healtheqkg.example.org/ontology#familyName","Rodriguez"
"http://healtheqkg.example.org/ontology#A1G7_P017","http://healtheqkg.example.org/ontology#gender","female"
