"subj","pred","obj"
"http://healtheqkg.example.org/ontology#A2G2_J009","http://healtheqkg.example.org/ontology#hasParticipant","http://healtheqkg.example.org/ontology#A2G2_P009"
"http://healtheqkg.example.org/ontology#A2G2_J009","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#JobPlacement"
"http://healtheqkg.example.org/ontology#A2G2_J009","http://healtheqkg.example.org/ontology#worksAt","http://healtheqkg.example.org/ontology#A2G2_F009"
"http://healtheqkg.example.org/ontology#A2G2_J009","http://healtheqkg.example.org/ontology#hasTimeReference","2024"
"http://healtheqkg.example.org/ontology#A1G2_M008","http://healtheqkg.example.org/ontology#numberOfStudents","2000"
"http://healtheqkg.example.org/ontology#A1G2_M008","http://healtheqkg.example.org/ontology#facultySize","500"
"http://healtheqkg.example.org/ontology#A1G2_M008","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#MedicalSchool"
"http://healtheqkg.example.org/ontology#A1G2_M008","http://healtheqkg.example.org/ontology#name","Hope General Medical School"
"http://healtheqkg.example.org/ontology#A0G4_J001","http://healtheqkg.example.org/ontology#hasParticipant","http://healtheqkg.example.org/ontology#A0G4_P001"
"http://healtheqkg.example.org/ontology#A0G4_J001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#JobPlacement"
"http://healtheqkg.example.org/ontology#A0G4_J001","http://healtheqkg.example.org/ontology#worksAt","http://healtheqkg.example.org/ontology#A0G4_F019"
"http://healtheqkg.example.org/ontology#A0G4_J001","http://healtheqkg.example.org/ontology#hasTimeReference","2023"
"http://healtheqkg.example.org/ontology#A2G5_F030","http://healtheqkg.example.org/ontology#address","789 Peachtree Road"
"http://healtheqkg.example.org/ontology#A2G5_F030","http://healtheqkg.example.org/ontology#numberOfEmployees","400"
"http://healtheqkg.example.org/ontology#A2G5_F030","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#Facility"
"http://healtheqkg.example.org/ontology#A2G5_F030","http://healtheqkg.example.org/ontology#name","Peachtree Clinic"
"http://healtheqkg.example.org/ontology#A2G5_F030","http://healtheqkg.example.org/ontology#locatedIn","http://healtheqkg.example.org/ontology#A2G5_Z012"
"http://healtheqkg.example.org/ontology#A2G5_F030","http://healtheqkg.example.org/ontology#numberOfBeds","250"
"http://healtheqkg.example.org/ontology#A2G5_F030","http://healtheqkg.example.org/ontology#abstract","specializing in regional healthcare"
"http://healtheqkg.example.org/ontology#A1G5_Z005","http://healtheqkg.example.org/ontology#hasADI","http://healtheqkg.example.org/ontology#A1G5_A005"
"http://healtheqkg.example.org/ontology#A1G8_M003","http://healtheqkg.example.org/ontology#scoredIn","2021"
"http://healtheqkg.example.org/ontology#A1G8_M003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#ADIScore"
"http://healtheqkg.example.org/ontology#A2G10_Z006","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#ZipCodeArea"
"http://healtheqkg.example.org/ontology#A1G9_M002","http://healtheqkg.example.org/ontology#numberOfStudents","1600"
"http://healtheqkg.example.org/ontology#A1G9_M002","http://healtheqkg.example.org/ontology#facultySize","800"
"http://healtheqkg.example.org/ontology#A1G9_M002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#MedicalSchool"
"http://healtheqkg.example.org/ontology#A1G9_M002","http://healtheqkg.example.org/ontology#name","University of Pennsylvania Perelman School of Medicine"
"http://healtheqkg.example.org/ontology#A1G9_M002","http://healtheqkg.example.org/ontology#abstract","Leading in biomedical research and patient care"
"http://healtheqkg.example.org/ontology#A2G9_F003","http://healtheqkg.example.org/ontology#address","789 Wellness Rd, Denver, CO"
"http://healtheqkg.example.org/ontology#A2G9_F003","http://healtheqkg.example.org/ontology#numberOfEmployees","180"
"http://healtheqkg.example.org/ontology#A2G9_F003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://healtheqkg.example.org/ontology#Facility"
"http://healtheqkg.example.org/ontology#A2G9_F003","http://healtheqkg.example.org/ontology#name","Denver Health Clinic"
"http://healtheqkg.example.org/ontology#A2G9_F003","http://healtheqkg.example.org/ontology#locatedIn","http://healtheqkg.example.org/ontology#A2G9_Z012"
"http://healtheqkg.example.org/ontology#A2G9_F003","http://healtheqkg.example.org/ontology#numberOfBeds","120"
"http://healtheqkg.example.org/ontology#A2G9_F003","http://healtheqkg.example.org/ontology#abstract","A prominent clinic in Denver"
