"sub","pred","obj"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_D002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_RG002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","ivy.brown@techinnovate.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","EE101"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_A002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Dr. Ivy Brown"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G25_P002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G25_D001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G25_P002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","robert.smith@csu.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G25_P002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G25_P002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","CS205"
