"subj","pred","obj"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_RG003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#researchProject","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_R003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_RG003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchGroup"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_RG003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_D003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_RG003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Quantum Mechanics"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G2_U004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#University"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G2_U004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Stanford University"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_R009","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Research"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_R009","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Vaccine Development"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G4_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G4_D001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G4_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","david.brown@oxford.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G4_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G4_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","O101"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G4_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Dr. David Brown"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G3_A008","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Article"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G3_A008","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","2023-08-15"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G3_A008","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Nanoelectronics Advances"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G2_D001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","emily.davis@oxford.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G2_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","CS101"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Emily Davis"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_R004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Research"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_R004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Deep Learning"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G1_U001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#University"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G1_U001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Oxford University"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_RG007","http://swat.cse.lehigh.edu/onto/univ-bench.owl#researchProject","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_R007"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_RG007","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchGroup"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_RG007","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_D001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_RG007","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Cybersecurity"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_PG006","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Program"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_PG006","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_D006"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_PG006","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Medicine Program"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G2_RG005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#researchProject","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G2_R005"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G2_RG005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchGroup"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G2_RG005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G2_D005"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G2_RG005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Biochemistry"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G1_T004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","kevin@oxford.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G1_T004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G1_T004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#teachingAssistantOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G1_C004"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G1_T004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Kevin Green"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_P006","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_D003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_P006","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","sophia.lee@harvard.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_P006","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_P006","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","PHYS303"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G2_P006","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Sophia Lee"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_C001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G3_C001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Introduction to Computer Science"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_RG003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","williams@harvard.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_P003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Chair"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_D003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_B003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G1_A003"
