"sub","pred","obj"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_MATH001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","robertbrown@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","M103"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G2_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Robert Brown"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_S003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_S003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#memberOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_U001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_S003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Mr. John Doe"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_S003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#takesCourse","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G1_C001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_D003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_RG003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","charlie.brown@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","PH301"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_B003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationAuthor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_A003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#teacherOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_C003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#advisor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_TA003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#advisor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_S006"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_P003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Dr. Charlie Brown"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G3_P004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Director"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G3_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#headOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G3_PG001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G3_P004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Professor Jane Smith"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G5_S004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G5_S004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#memberOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#G5_U001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G5_S004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Alex Taylor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_R001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Research"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_R001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Quantum Algorithms for Machine Learning"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_S006","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_S006","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Emma Brown"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_P001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","alice.johnson@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_P001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_P001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#officeNumber","CS201"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G4_P001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Alice Johnson"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#G6_PG003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Program"
