"subj","pred","obj"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G4_TA002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","nicole.scott@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G4_TA002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G4_TA002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#teachingAssistantOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G4_C002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G4_TA002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Nicole Scott"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G9_TA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","tom.wilson@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G9_TA001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G9_TA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#teachingAssistantOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G9_C001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G9_TA001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Tom Wilson"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G1_AR002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Article"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G1_AR002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","December 8, 2023"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G1_AR002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Smart Grid Technologies for Sustainable Cities"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G7_A005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Article"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G7_A005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","December 2, 2023"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G7_A005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Advances in Statistical Modeling"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G5_RG011","http://swat.cse.lehigh.edu/onto/univ-bench.owl#researchProject","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G5_R011"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G5_RG011","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchGroup"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G5_RG011","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G5_D001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G5_RG011","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Computational Biology Group"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G8_TA004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","nancy.green@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G8_TA004","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G8_TA004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#teachingAssistantOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G8_C004"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G8_TA004","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Nancy Green"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G5_A001","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Article"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G5_A001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","2023-09-15"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A0G5_A001","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Recent Advances in Computer Science"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G6_A002","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Article"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G6_A002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#publicationDate","2023-09-20"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A2G6_A002","http://swat.cse.lehigh.edu/onto/univ-bench.owl#title","Cognitive Biases in Decision Making"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G8_RA005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G8_RG005"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G8_RA005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","michael.brown@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G8_RA005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G8_RA005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Michael Brown"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G4_RA003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G4_RG003"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G4_RA003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","ethan.clark@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G4_RA003","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G4_RA003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#advisor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G4_P001"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G4_RA003","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Ethan Clark"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G3_AS005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#worksFor","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G3_D005"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G3_AS005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#email","sarah.davis@university.edu"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G3_AS005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#AdministrativeStaff"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G3_AS005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Sarah Davis"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G8_D005","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G8_D005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf","http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G8_U002"
"http://swat.cse.lehigh.edu/onto/univ-bench.owl#A1G8_D005","http://swat.cse.lehigh.edu/onto/univ-bench.owl#name","Physics"
